s,t,x,y
"((0, 5), (1, 0), (1, 1), (1, 8), (3, 3), (4, 3), (5, 4), (6, 7), (8, 9), (9, 8), (11, 10), (12, 11), (14, 10), (14, 12), (15, 11), (15, 14), (15, 15), (16, 2), (17, 15), (17, 17), (18, 8), (19, 15), (22, 20), (23, 18), (24, 19), (26, 21))",0.0,"([18.720953834926483], [14.364659379847197], [72.19935441200737], [127.98557238810714, 88.61060447911389], [17.33099645285444], [41.30264375843501], [5.904422486645274], [37.08653036006635, 53.64391456113081], [76.78252322632454], [88.64362204253854], [122.23121433176692, 161.15036142835513], [125.88936981176221, 122.39300173293759], [186.70020023594256, 156.64091392696503], [171.22571881650282], [169.6517838818914, 242.4204686244761], [260.6227238054076, 299.6701490785178, 371.50511527416006, 385.62706073065203], [411.28797129245413, 402.85468191356716, 370.15182228181044, 400.3695118147694], [214.08039212170058, 260.01778977531274], [444.5836871776876, 399.1473762409083], [440.5869131297867, 494.78536766768707, 496.64351878894666, 477.42284723797826], [198.6726098058429], [298.08256306340024, 339.64208267667317], [556.9465188719141, 522.9784188617837], [487.50545835259686, 484.05520203443365], [507.1122137172445, 549.6363937002884], [540.467373511087, 562.0201702205203])","([11.47115399370065], [97.5686445649351], [32.0905346921564], [197.6070131044045, 146.2560421355678], [328.6829290528049], [437.70297779888534], [581.0706367016228], [321.2110035114108, 315.82289664141155], [589.5134624162636], [8.182817401342733], [473.01777013043045, 454.9638383225373], [349.8086368265648, 360.6767435427243], [465.9898356005806, 518.6836640365225], [589.5798667461406], [329.02024476484553, 354.0577901187268], [223.88829883112984, 258.79874759204307, 267.0670712149734, 230.90561523050192], [185.8517685965598, 334.46906506922994, 413.3023091541852, 442.5300784254135], [180.06684106748745, 151.30818203889072], [468.89903571333036, 484.5599479191809], [543.6194151684969, 550.1659156677288, 545.3535894131679, 495.00699100150496], [89.39843794916167], [445.49043242729795, 402.85699791003657], [518.591419995862, 589.7740638636335], [52.33674247156128, 19.16884597309129], [124.3524872972777, 183.08076123887258], [16.383458703374636, 18.072389032925674])"
"((0, 5), (1, 0), (1, 1), (1, 8), (3, 3), (4, 3), (5, 4), (6, 7), (8, 9), (9, 8), (11, 10), (12, 11), (14, 10), (14, 12), (15, 11), (15, 14), (15, 15), (16, 2), (17, 15), (17, 17), (18, 8), (19, 15), (22, 20), (23, 18), (24, 19), (26, 21))",0.0,"([18.72068387666563], [14.36117345460194], [72.19919861814623], [127.982507272199, 88.6424488756199], [17.330859236096067], [41.30224633305704], [5.905828674908236], [37.06748452065383, 53.60632130981239], [76.78072643890386], [88.64440201018452], [122.23145274865709, 161.15311341266258], [125.89322769981311, 122.39199048492037], [186.6972002684104, 156.47449786688156], [171.2258228622097], [169.54399824364373, 242.421225326372], [260.6197444036168, 299.59792007059343, 371.50555451574996, 385.6332189285728], [411.28544225439185, 402.85148157194817, 370.1495935556066, 400.3683670458578], [214.08119025301409, 260.0186719305907], [444.58539715188266, 399.1471343078], [440.58066176421755, 494.79957292110964, 496.5569806683286, 477.42175685803744], [198.6722451831916], [298.03349058703645, 339.647337211268], [556.9367323783636, 522.9764796190273], [487.5048409889472, 484.0483726455225], [507.1124790678535, 549.6369760646037], [540.4951110910672, 562.0212528272573])","([11.473247752496729], [97.56967259675388], [32.128151267656996], [197.6041858959032, 146.25040892828304], [328.6819788732223], [437.70449735106473], [581.0700145984897], [321.15304501499463, 315.9678699368031], [589.5111383806144], [8.183643181116821], [473.018399463064, 454.9642743713904], [349.80160557273, 360.68600797611487], [465.9875908800667, 518.6494415512145], [589.5805239118548], [328.99211997097206, 354.0588269271051], [223.8939883903214, 258.7810685676445, 267.06778794020573, 230.91046087754543], [185.8487394594513, 334.4628290553125, 413.30307487217704, 442.532400083307], [180.06635306815178, 151.31052209356338], [468.89874672313243, 484.56046696836734], [543.6197122032482, 550.1175247966014, 545.5290192045017, 495.0075314995906], [89.39850257072793], [445.45614455507996, 402.85350721999265], [518.6107956011338, 589.7717415326939], [52.36917563122708, 19.14174953959902], [124.35432560957057, 183.0852502523849], [16.347044434818027, 18.070798033143845])"
"((0, 5), (1, 0), (1, 1), (1, 8), (3, 3), (4, 3), (5, 4), (6, 7), (8, 9), (9, 8), (11, 10), (12, 11), (14, 10), (14, 12), (15, 11), (15, 14), (15, 15), (16, 2), (17, 15), (17, 17), (18, 8), (19, 15), (22, 20), (23, 18), (24, 19), (26, 21))",0.0,"([18.72129777748421], [14.36150348689533], [72.19832936231471], [127.97767821183308, 88.64748542350074], [17.334231263923147], [41.23651388210175], [5.906809770928362], [37.06827595810103, 53.6070394901856], [76.77651090313259], [88.64518061556099], [122.18297009732038, 161.15585906018921], [125.89306990410552, 122.39078872459922], [186.6942062973232, 156.43623609867979], [171.22928567384372], [169.54193848012494, 242.42196095536028], [260.6095034257221, 299.5975618543463, 371.4876464096584, 385.6309149474584], [411.26896865587736, 402.8058340255917, 370.1441039162478, 400.36667418077707], [214.08200203763676, 260.06826186135737], [444.58695927347304, 399.1499349092979], [440.5790477995557, 494.79271326557284, 496.55320923506684, 477.41842868005864], [198.6718140911015], [298.03260295522307, 339.65157152751885], [556.9456635647471, 522.9742328257029], [487.5058219319045, 484.04767619293455], [507.1298795350021, 549.6376936302837], [540.4967826774716, 562.0218760201093])","([11.473613959471027], [97.57016569558351], [32.12780161761332], [197.59932284826652, 146.2499487788673], [328.683791635839], [437.7844540346535], [581.0693668502652], [321.1601256581098, 315.9665902725525], [589.5091582983868], [8.184467518607214], [473.0736815702551, 454.9647094161876], [349.80106715919504, 360.69932851143756], [465.9853506463823, 518.6410085289433], [589.5797361571624], [328.9911200460549, 354.05989544002375], [223.9218461372308, 258.7815316339233, 267.07413774570847, 230.9073954235056], [185.8252070196373, 334.3880682238263, 413.3042538341791, 442.5341590394957], [180.06587477398853, 151.3896843436741], [468.8984020032191, 484.5611838302737], [543.6193153262482, 550.1427835782979, 545.537723985002, 495.00468358602495], [89.39881365158897], [445.45620811052123, 402.85100607342025], [518.5882002310204, 589.7723310869331], [52.370602019231136, 19.134984447410925], [124.34880711231618, 183.08266671448908], [16.34413805665255, 18.070910821449868])"
"((0, 5), (1, 0), (1, 1), (1, 8), (3, 3), (4, 3), (5, 4), (6, 7), (8, 9), (9, 8), (11, 10), (12, 11), (14, 10), (14, 12), (15, 11), (15, 14), (15, 15), (16, 2), (17, 15), (17, 17), (18, 8), (19, 15), (22, 20), (23, 18), (24, 19), (26, 21))",0.0,"([18.721525863403322], [14.361977604317602], [72.19709435193793], [127.96072037247772, 88.70776065948613], [17.334733172035296], [41.23708062669351], [5.907864594654882], [37.067065890439885, 53.60749923203039], [76.77471126407613], [88.6459578614121], [122.18696258697133, 161.1585983450436], [125.89291081102013, 122.39015396756841], [186.69121823150297, 156.41900071299517], [171.22939035838414], [169.49219384871924, 242.42268745594836], [260.61148043112235, 299.59995422136376, 371.488060863084, 385.63553614745916], [411.25702636182325, 402.79600358747587, 370.1221399073645, 400.36559796392334], [214.08330986612592, 260.06858604411696], [444.58911682295707, 399.14878076887817], [440.5635919405438, 494.777638191682, 496.56690214348805, 477.4173316209463], [198.67145020872692], [298.03234798032173, 339.6602488959604], [556.9357139246887, 522.9720237702818], [487.5067985143653, 484.0469395444655], [507.12924661132536, 549.6383546951273], [540.4953641759893, 562.0212148391895])","([11.474718143077057], [97.57063903058045], [32.11050105748532], [197.58046965695684, 146.23888630152956], [328.68335562484793], [437.7848780371595], [581.0687216114223], [321.16064904090234, 315.96629869698296], [589.5068384135254], [8.185290416719276], [473.070138697697, 454.96514345282645], [349.800532809219, 360.69992276651516], [465.9831148313038, 518.6368081564283], [589.5803873391386], [328.97761552725257, 354.0609744632009], [223.91233113584374, 258.78268610710023, 267.0748456021268, 230.9108107058786], [185.80839019405832, 334.3709884011241, 413.30752977421633, 442.5365437885435], [180.06575809805295, 151.39120350312788], [468.89831208851143, 484.5616392915385], [543.6209719535744, 550.1967835931358, 545.5112633886865, 495.00522393957993], [89.39887821372683], [445.4567167810997, 402.8443173804905], [518.6078932364318, 589.7726747753256], [52.372073757551824, 19.128074682289572], [124.35098480549426, 183.0826402991651], [16.345183723616103, 18.07582968297667])"
"((0, 5), (1, 0), (1, 1), (1, 8), (3, 3), (4, 3), (5, 4), (6, 7), (8, 9), (9, 8), (11, 10), (12, 11), (14, 10), (14, 12), (15, 11), (15, 14), (15, 15), (16, 2), (17, 15), (17, 17), (18, 8), (19, 15), (22, 20), (23, 18), (24, 19), (26, 21))",0.0,"([18.722130249136487], [14.362307950121334], [72.19552025356661], [127.94516250433766, 88.71063970319445], [17.347154674556435], [41.23770683141396], [5.907834731881337], [37.06597321364373, 53.62535400403293], [76.77291471548119], [88.64673375043323], [122.18276617033041, 161.25767862630065], [125.89277969030084, 122.38710091209964], [186.6882621291345, 156.41909570731409], [171.2294945841858], [169.4918732565474, 242.42341968254075], [260.6104598675218, 299.6509364424123, 371.4891412718466, 385.67697869346694], [411.2563041949272, 402.78423457181646, 370.13335425324595, 400.36445588530665], [214.09941901006167, 260.10504200510564], [444.4000004768857, 399.1479999642588], [440.56343773134205, 494.76422053624475, 496.57783541293895, 477.41623379776547], [198.67108677196566], [297.99594225400494, 339.6610910324629], [556.9342890552697, 522.9702946169723], [487.5075462128375, 484.04368386840196], [507.1287163908319, 549.6390272473353], [540.4948872495391, 562.0108821855308])","([11.475083530746891], [97.57113271298543], [32.07954554971789], [197.56326735040284, 146.23886028449124], [328.69231290774246], [437.7852207733593], [581.0680159657753], [321.1615416808113, 315.90008626654014], [589.5045225125268], [8.18611187830667], [473.0757883756678, 454.9350736050495], [349.7999549783143, 360.75305162404663], [465.9811014486323, 518.636127147886], [589.581037417115], [328.977044612247, 354.0620373129843], [223.91199100852708, 258.7960527369948, 267.07534998410756, 230.9486034549096], [185.80808960548745, 334.3507257559061, 413.30659160198013, 442.5388581302736], [180.0764235518586, 151.44980253021586], [468.81818882936545, 484.56211835684917], [543.6203554471442, 550.2449944384766, 545.49035820378, 495.00576466947456], [89.39894269680138], [445.4312816598247, 402.8450607623159], [518.6085088837295, 589.768372766253], [52.37824438845726, 19.112710916470853], [124.35311266473492, 183.08184778503977], [16.34500635922948, 18.11708595254711])"
"((0, 5), (1, 0), (1, 1), (1, 8), (3, 3), (4, 3), (5, 4), (6, 7), (8, 9), (9, 8), (11, 10), (12, 11), (14, 10), (14, 12), (15, 11), (15, 14), (15, 15), (16, 2), (17, 15), (17, 17), (18, 8), (19, 15), (22, 20), (23, 18), (24, 19), (26, 21))",0.1,"([18.720829862638894], [14.36263843698238], [72.1923887191246], [127.94980950864948, 88.70961133268543], [17.34300739967759], [41.21066193132583], [5.909339318829467], [37.06474456556182, 53.626246294256134], [76.770995554406], [88.6451191171551], [122.21105031769258, 161.26039421819195], [125.89262136965596, 122.38643865518597], [186.68200699757674, 156.41908107933165], [171.22959888017294], [169.4607978844224, 242.42413074068727], [260.61210179319835, 299.64037605549527, 371.4869656831934, 385.64134314903384], [411.253265683042, 402.78350609882096, 370.13265932596073, 400.3633143626525], [214.10042951492002, 260.1063237010893], [444.40184381523096, 399.14865958799476], [440.5637079836496, 494.7647698781419, 496.57853138860537, 477.4179054104657], [198.67072376675614], [297.98279078253915, 339.6476228963338], [556.9430070999117, 522.9702474641908], [487.50853288071994, 484.04782162474066], [507.1378870436044, 549.6396949209977], [540.4943943875297, 562.0115084535983])","([11.479119230745837], [97.57162660619231], [31.99584788431557], [197.56936414019683, 146.23958203684302], [328.68823098694565], [437.8188771739456], [581.0673923345107], [321.1619817255434, 315.89827956998886], [589.5022275244843], [8.21402195168877], [473.0449134240944, 454.93557963361496], [349.799423261144, 360.7536862952317], [465.95209600975573, 518.6354262326278], [589.5816861769101], [328.96837704021, 354.06313251721537], [223.90360213149208, 258.7939373727259, 267.0768464655872, 230.91444131615626], [185.80439765292613, 334.34830812211135, 413.30716596725574, 442.54116957889005], [180.07607391751833, 151.45287428032125], [468.8178938992453, 484.56268871864], [543.6196809526849, 550.2443297524713, 545.4900468334475, 495.01047723043945], [89.39900710330748], [445.4219992214576, 402.85926862739535], [518.5865557876905, 589.746920344509], [52.37950044458633, 19.122136690778984], [124.35102406789169, 183.08109062329743], [16.34483556915113, 18.117211870620864])"
"((0, 5), (1, 0), (1, 1), (1, 8), (3, 3), (4, 3), (5, 4), (6, 7), (8, 9), (9, 8), (11, 10), (12, 11), (14, 10), (14, 12), (15, 11), (15, 14), (15, 15), (16, 2), (17, 15), (17, 17), (18, 8), (19, 15), (22, 20), (23, 18), (24, 19), (26, 21))",0.1,"([18.713223671430143], [14.36296904104482], [72.19068030630834], [127.93018320099868, 88.71108180314522], [17.343327667683788], [41.211255089970905], [5.923877222250297], [37.06344461048675, 53.659583169919685], [76.76920539966795], [88.64350842048401], [122.20667464461843, 161.26317953797005], [125.89246344628182, 122.38577755436638], [186.6789657172889, 156.4132795385564], [171.23150235806438], [169.44629939306492, 242.42485913960212], [260.61729653897436, 299.71605628560667, 371.48991479771234, 385.6420143296281], [411.25275482948024, 402.78208163457526, 370.15196586479266, 400.3627235615051], [214.1012415107797, 260.1127132956848], [444.3845766232736, 399.14753859337776], [440.563665971808, 494.7837909631913, 496.590853650805, 477.416810337266], [198.67036117971975], [298.1419419680791, 339.64842996702004], [556.933184450897, 522.9662803274789], [487.50950939233593, 484.04486643475303], [507.12643635205444, 549.6403418750128], [540.4956752301028, 562.0080828217276])","([11.49530171673289], [97.57212067454978], [31.98752612929348], [197.54752402515706, 146.23982410541106], [328.68767262329897], [437.8192738193168], [581.0674572630589], [321.1621814352582, 315.7739495510034], [589.4999194516615], [8.242420831030875], [473.05074598468553, 454.9360604196352], [349.79889287820083, 360.7543198584787], [465.9498566857045, 518.6335380899587], [589.5815538126046], [328.9640512486695, 354.06419051994993], [223.8845455413907, 258.81345958494285, 267.07678280091744, 230.91418097680693], [185.8044231015365, 334.34475918400364, 413.3051707686806, 442.5440508582938], [180.07557956792257, 151.4640270773039], [468.80959049111607, 484.56314380325017], [543.6190569916997, 550.1789916779111, 545.4663425396548, 495.0110166608211], [89.3990714356189], [445.5367783566817, 402.8600053286391], [518.6058881558229, 589.7652315372893], [52.380923547417325, 19.107739301014398], [124.35788278618212, 183.08107426641743], [16.34238432412836, 18.13259056527337])"
"((0, 5), (1, 0), (1, 1), (1, 8), (3, 3), (4, 3), (5, 4), (6, 7), (8, 9), (9, 8), (11, 10), (12, 11), (14, 10), (14, 12), (15, 11), (15, 14), (15, 15), (16, 2), (17, 15), (17, 17), (18, 8), (19, 15), (22, 20), (23, 18), (24, 19), (26, 21))",0.1,"([18.717681222787245], [14.363299739045772], [72.189651923775], [127.90900349878014, 88.7046452920856], [17.342330023774238], [41.21350548226121], [5.924028482866092], [37.062732372099745, 53.66412017355161], [76.76741843430892], [88.6443245042492], [122.2105634541029, 161.26595419386686], [125.89231370638487, 122.38389489065725], [186.67593366739086, 156.34235014330727], [171.22273446906436], [169.33912462274446, 242.42558556095616], [260.6121734686516, 299.7157168567842, 371.48876213884387, 385.6597304155151], [411.254870463136, 402.7661097143122, 370.14600671242323, 400.36104483642833], [214.10205355190232, 260.14795659163036], [444.387244973726, 399.1482145531363], [440.56547442708256, 494.74776261325525, 496.6005860539861, 477.415668705125], [198.66935426419315], [298.14172673650796, 339.65560340813573], [556.9257196689257, 522.9640724131627], [487.5104839572434, 484.0489440195782], [507.13513151751874, 549.6399441424874], [540.4933848233775, 562.0129699754905])","([11.488191470797299], [97.57261488329283], [31.987071467483318], [197.52394306925163, 146.2415730319389], [328.68607804821244], [437.817661457863], [581.0667505461581], [321.1642570982094, 315.75862268525924], [589.4976154909521], [8.24328679237094], [473.0472741047032, 454.9365413963711], [349.79835113134254, 360.780611142506], [465.9476482206056, 518.6182124905731], [589.5860521020726], [328.9352097935856, 354.065246165671], [223.89668280575683, 258.8138918820961, 267.0779647664646, 230.92980681512975], [185.8082996303959, 334.3175515756829, 413.3064123823353, 442.5457946630509], [180.0750851907704, 151.52088887950447], [468.8096447618513, 484.5637115320653], [543.6181681843605, 550.3063565325359, 545.4478467845287, 495.01148762488157], [89.40148064935674], [445.53726984806724, 402.8547822733855], [518.6199286991605, 589.7658315808872], [52.38234381324537, 19.11704768836965], [124.3559594221118, 183.12607175872532], [16.344485727740448, 18.11663693613209])"
"((0, 5), (1, 0), (1, 1), (1, 8), (3, 3), (4, 3), (5, 4), (6, 7), (8, 9), (9, 8), (11, 10), (12, 11), (14, 10), (14, 12), (15, 11), (15, 14), (15, 15), (16, 2), (17, 15), (17, 17), (18, 8), (19, 15), (22, 20), (23, 18), (24, 19), (26, 21))",0.1,"([18.715664086088363], [14.363630508303672], [72.18862089348451], [127.89326937575998, 88.70879500055581], [17.34120730058555], [41.20473535660966], [5.924620486947873], [37.06153963379624, 53.663552284849814], [76.76563468880232], [88.64513926788587], [122.18970849010555, 161.26872653646276], [125.89719288952872, 122.38325094359223], [186.67290411001596, 156.34254829383286], [171.21972807006338], [169.33275175697023, 242.42631026524154], [260.61632385639433, 299.66684884209656, 371.4904947677707, 385.73080871414294], [411.31562534771444, 402.76666372856766, 370.1428013554223, 400.359907440487], [214.10360926820613, 260.1475887201092], [444.38763576206014, 399.14696285122545], [440.564232248276, 494.76268076852284, 496.6157575699483, 477.4145741854924], [198.66820913852962], [298.12677044421434, 339.6567576886729], [556.9044581532801, 522.960798717498], [487.511448904703, 484.0459879216314], [507.1252597564414, 549.6405597602527], [540.494663025509, 562.0072594787018])","([11.493550576445307], [97.57310919852522], [31.986579538532972], [197.50665987384076, 146.24130076251285], [328.6843873443966], [437.829347375599], [581.0660662340446], [321.16477456990094, 315.7625574813944], [589.4953156816456], [8.244151352898621], [473.07169387442946, 454.9370199270254], [349.7895966849793, 360.78065073868396], [465.9454176430577, 518.6175118841924], [589.5880575183893], [328.93295973579694, 354.0662989805455], [223.88091812232653, 258.8021765422728, 267.07827315051094, 230.9950978268271], [185.89795536907846, 334.3171801991082, 413.30730140603146, 442.5480978256577], [180.07512970764188, 151.52138952889996], [468.8087483952636, 484.56415658305235], [543.6177281864221, 550.2553492834716, 545.4184160846517, 495.0120307040849], [89.40438102173107], [445.52726634448493, 402.855207955732], [518.6644600031677, 589.7781594647391], [52.38393207860721, 19.102608176696066], [124.36215431679389, 183.1260715107561], [16.342018262334147, 18.140663258758977])"
"((0, 5), (1, 0), (1, 1), (1, 8), (3, 3), (4, 3), (5, 4), (6, 7), (8, 9), (9, 8), (11, 10), (12, 11), (14, 10), (14, 12), (15, 11), (15, 14), (15, 15), (16, 2), (17, 15), (17, 17), (18, 8), (19, 15), (22, 20), (23, 18), (24, 19), (26, 21))",0.1,"([18.73758579529313], [14.363961326706175], [72.18759393897083], [127.90772260067172, 88.74403957927642], [17.341593590387486], [41.20521973333422], [5.924772161528011], [37.060350160573314, 53.6722887385412], [76.76384012333557], [88.64826423364802], [122.18659010328486, 161.27141659662882], [125.88100174557422, 122.38257425419383], [186.66988029665293, 156.32726458161764], [171.16481711557373], [169.3565200665796, 242.4270332596676], [260.6153551376292, 299.6665129051074, 371.4907749078267, 385.7488651154672], [411.3152031887265, 402.76212644600076, 370.1429155588163, 400.3589100230565], [214.10434796374867, 260.1471771825968], [444.3877943100621, 399.1515721531177], [440.5638048442877, 494.73652126142565, 496.6195006656196, 477.41347902943204], [198.66720318560886], [298.04294138201055, 339.65758268516026], [556.914137135438, 522.9573197905943], [487.5124197291803, 484.0501153263081], [507.13437167623385, 549.640856484517], [540.4977779840036, 562.0087188966073])","([11.452881123829368], [97.57360358720132], [31.986125549524065], [197.52401871081625, 146.235120303503], [328.68389343052434], [437.8298574522761], [581.0653584741874], [321.1652906250311, 315.73151440698285], [589.4930218373582], [8.217707612248464], [473.07613516579784, 454.9375210394738], [349.8152859778242, 360.78139828972604], [465.9431912946635, 518.6136003124491], [589.6127072528785], [328.93870581418815, 354.0673489491107], [223.8805839713365, 258.80262152302083, 267.0790207124883, 231.0104806165298], [185.89803978456573, 334.30851076917276, 413.3077608563781, 442.5505439384192], [180.0746807570453, 151.52181416485894], [468.80775884056686, 484.5649643961182], [543.6171735138402, 550.3481848211678, 545.4119568399362, 495.01257409907134], [89.40676497682381], [445.468272771732, 402.855940242737], [518.6404871998693, 589.793497470865], [52.38534693507215, 19.11216995359799], [124.36000443571331, 183.13914828514388], [16.337203703622713, 18.137618108953255])"
